taxon_id	speciesName	order	patch_area	change_patch_area	habitat_intactness_p5	habitat_intactness_p10	habitat_intactness_p50	habitat_intactness_p90	habitat_intactness_p95	change_habitat_intactness_p5	change_habitat_intactness_p10	change_habitat_intactness_p50	change_habitat_intactness_p90	change_habitat_intactness_p95	patch_intactness_p5	patch_intactness_p10	patch_intactness_p50	patch_intactness_p90	patch_intactness_p95	change_patch_intactness_p5	change_patch_intactness_p10	change_patch_intactness_p50	change_patch_intactness_p90	change_patch_intactness_p95	habitat_breadth	range_size	gestation_length	weaning_age	realm	criterionB	rl_cat	threatened_status
7908	Epomops dobsonii	Chiroptera	0.143753228	-0.054229666	0.003	0.009	0.105	0.307	0.372	-0.001	-0.001	-0.023	-0.048	-0.053	0.248	0.265	0.341	0.479	0.537	-0.001	-0.001	-0.013	-0.042	-0.058	1	1372957	149.834	112.021	Afrotropic	0	LC	Non-threatened
16104	Paradoxurus jerdoni	Carnivora	0.000282936	0	0	0.001	0.007	0.024	0.032	0	0	-0.001	-0.001	-0.001	0.074	0.086	0.153	0.173	0.173	-0.001	-0.002	-0.003	0	0	2	67153	71.061	99.969	Indomalayan	0	LC	Non-threatened
88149174	Lophostoma occidentalis	Chiroptera	0.042551191	-0.006186924	0	0.002	0.033	0.186	0.249	0	-0.001	-0.004	-0.023	-0.03	0.244	0.27	0.372	0.469	0.565	0.004	-0.001	-0.034	-0.026	-0.017	2	202039	116.591	78.154	Neotropic	0	NT	Non-threatened
163314140	Microcebus boraha	Primates	0	0	0.001	0.001	0.002	0.007	0.012	-0.001	-0.001	-0.001	-0.003	-0.004											1	138	88.93	70.14	Afrotropic	0	DD	Data deficient
18555	Pseudomys pilligaensis	Rodentia	0.217372577	-0.000143575	0.031	0.043	0.111	0.326	0.384	0	0	0	0	-0.002	0.188	0.202	0.319	0.428	0.443	-0.001	-0.001	-0.001	-0.003	-0.001	2	6965	28.305	27.801	Australasia	0	DD	Data deficient
7014	Echiothrix leucura	Rodentia	0.001106501	0	0	0.001	0.008	0.027	0.035	0	0	-0.003	-0.006	-0.007	0.063	0.063	0.064	0.077	0.077	-0.005	-0.005	-0.005	-0.007	-0.007	1	3615	34.793	29.701	Australasia	1	EN	Threatened
112298450	Prosciurillus topapuensis	Rodentia	0.000793942	0	0.005	0.012	0.084	0.127	0.133	0	-0.001	-0.013	-0.028	-0.031	0.316	0.316	0.322	0.324	0.324	-0.02	-0.02	-0.021	-0.022	-0.022	2	16374	45.365	47.329	Australasia	1	NT	Non-threatened
10156	Hipposideros pygmaeus	Chiroptera	0.066630426	-0.009230189	0	0	0.007	0.166	0.276	0	0	-0.001	-0.022	-0.032	0.197	0.219	0.325	0.441	0.482	-0.012	-0.006	-0.028	-0.034	-0.062	2	90139	107.78	66.79	Indomalayan	0	LC	Non-threatened
9127	Gerbillus henleyi	Rodentia	0.379429626	-0.033940217	0.004	0.011	0.175	0.67	0.815	-0.002	-0.003	-0.029	-0.073	-0.071	0.28	0.313	0.524	0.84	0.91	-0.006	-0.009	-0.047	-0.065	-0.109	3	3857577	24.221	26.635	Palearctic	0	LC	Non-threatened
731	Akodon dayi	Rodentia	0.241496645	-0.036391883	0.003	0.009	0.118	0.417	0.532	0	-0.001	-0.013	-0.04	-0.057	0.25	0.272	0.382	0.618	0.707	-0.008	-0.008	-0.009	-0.03	-0.027	1	290944	24.466	21.887	Neotropic	0	LC	Non-threatened
